ano,unidade_geografica,nivel_geografico,localizacao,dependencia,taxa_aprovacao,taxa_reprovacao,taxa_abandono
2019,Brasil,Brasil,Total,Total,86.1,9.1,4.8
2019,Brasil,Brasil,Urbana,Total,86.1,9.2,4.7
2019,Brasil,Brasil,Rural,Total,85.8,7.5,6.7
2019,Brasil,Brasil,Total,Federal,88.5,9.8,1.7
2019,Brasil,Brasil,Urbana,Federal,88.4,9.9,1.7
2019,Brasil,Brasil,Rural,Federal,89.6,9.1,1.3
2019,Brasil,Brasil,Total,Estadual,84.5,10.0,5.5
2019,Brasil,Brasil,Urbana,Estadual,84.5,10.1,5.4
2019,Brasil,Brasil,Rural,Estadual,85.1,7.6,7.3
2019,Brasil,Brasil,Total,Municipal,88.7,7.4,3.9
2019,Brasil,Brasil,Urbana,Municipal,88.9,7.6,3.5
2019,Brasil,Brasil,Rural,Municipal,86.7,5.2,8.1
2019,Brasil,Brasil,Total,Privada,96.4,3.4,0.2
2019,Brasil,Brasil,Urbana,Privada,96.4,3.4,0.2
2019,Brasil,Brasil,Rural,Privada,94.4,3.2,2.4
2019,Brasil,Brasil,Total,Pública,84.7,10.0,5.3
2019,Brasil,Brasil,Urbana,Pública,84.6,10.1,5.3
2019,Brasil,Brasil,Rural,Pública,85.5,7.7,6.8
2019,Norte,Regiao,Total,Total,81.5,9.5,9.0
2019,Norte,Regiao,Urbana,Total,81.5,9.8,8.7
2019,Norte,Regiao,Rural,Total,81.7,7.1,11.2
2019,Norte,Regiao,Total,Federal,89.6,8.7,1.7
2019,Norte,Regiao,Urbana,Federal,89.4,8.8,1.8
2019,Norte,Regiao,Rural,Federal,90.7,8.2,1.1
2019,Norte,Regiao,Total,Estadual,80.2,10.0,9.8
2019,Norte,Regiao,Urbana,Estadual,80.0,10.4,9.6
2019,Norte,Regiao,Rural,Estadual,81.2,7.1,11.7
2019,Norte,Regiao,Total,Municipal,60.0,35.8,4.2
2019,Norte,Regiao,Urbana,Municipal,60.0,35.8,4.2
2019,Norte,Regiao,Rural,Municipal,,,
2019,Norte,Regiao,Total,Privada,96.5,3.1,0.4
2019,Norte,Regiao,Urbana,Privada,96.6,3.1,0.3
2019,Norte,Regiao,Rural,Privada,92.5,3.1,4.4
2019,Norte,Regiao,Total,Pública,80.5,9.9,9.6
2019,Norte,Regiao,Urbana,Pública,80.3,10.3,9.4
2019,Norte,Regiao,Rural,Pública,81.5,7.1,11.4
2019,Nordeste,Regiao,Total,Total,86.3,8.5,5.2
2019,Nordeste,Regiao,Urbana,Total,86.3,8.6,5.1
2019,Nordeste,Regiao,Rural,Total,86.6,7.2,6.2
2019,Nordeste,Regiao,Total,Federal,86.1,11.4,2.5
2019,Nordeste,Regiao,Urbana,Federal,85.8,11.7,2.5
2019,Nordeste,Regiao,Rural,Federal,88.3,9.5,2.2
2019,Nordeste,Regiao,Total,Estadual,85.3,8.9,5.8
2019,Nordeste,Regiao,Urbana,Estadual,85.2,9.1,5.7
2019,Nordeste,Regiao,Rural,Estadual,86.2,7.2,6.6
2019,Nordeste,Regiao,Total,Municipal,82.2,6.2,11.6
2019,Nordeste,Regiao,Urbana,Municipal,79.5,7.4,13.1
2019,Nordeste,Regiao,Rural,Municipal,84.9,5.0,10.1
2019,Nordeste,Regiao,Total,Privada,95.6,3.9,0.5
2019,Nordeste,Regiao,Urbana,Privada,95.6,3.9,0.5
2019,Nordeste,Regiao,Rural,Privada,93.2,3.2,3.6
2019,Nordeste,Regiao,Total,Pública,85.3,9.0,5.7
